ts,cpu_total_pct,ffmpeg_rec_pct,feeder_pct,chromium_pct,sshd_pct,mem_avail_mb,temp_c
20:30:22,73.6,58.3,0.0,1.5,0.0,214,62.1
20:30:34,31.3,4.5,0.0,3.2,0.0,213,62.1
20:30:45,30.4,4.4,0.0,0.5,0.0,212,61.6
20:30:57,27.9,4.6,0.0,1.2,0.0,211,61.6
20:31:08,28.5,4.4,0.0,1.4,0.0,215,61.6
20:31:19,27.4,4.3,0.0,0.8,0.0,215,61.6
20:31:31,26.7,4.4,0.0,0.1,0.0,215,61.6
20:31:42,33.9,4.5,0.0,0.7,-4.7,217,62.1
20:31:54,29.2,4.4,0.0,3.4,0.0,217,61.6
20:32:05,28.0,4.4,0.0,1.6,0.0,217,61.6
20:32:16,26.0,4.3,0.0,0.2,0.0,217,61.6
20:32:27,27.3,4.5,0.0,0.8,0.0,217,61.6
20:32:39,26.7,4.4,0.0,0.1,0.0,217,61.6
20:32:50,26.1,4.3,0.0,0.2,0.0,217,61.6
20:33:01,27.5,4.4,0.0,1.3,0.0,217,61.6
20:33:12,26.3,4.3,0.0,0.3,0.0,217,61.6
20:33:24,27.0,4.3,0.0,0.6,0.0,217,60.5
20:33:35,26.0,4.4,0.0,0.3,0.0,216,61.6
20:33:47,26.4,4.4,0.0,0.5,0.0,216,61.6
20:33:59,26.9,4.3,0.0,1.4,0.0,216,61.6
20:34:11,29.6,4.4,0.0,0.2,0.0,216,61.6
20:34:22,28.5,4.3,0.0,0.6,0.0,216,61.6
20:34:33,26.1,4.4,0.0,1.0,0.0,216,61.6
20:34:44,39.8,4.3,0.0,0.2,0.0,216,61.6
20:34:56,34.1,4.4,0.0,0.3,5.1,215,61.6
20:35:08,40.6,4.3,0.0,10.0,0.0,214,61.6
20:35:19,27.0,4.4,0.0,0.7,0.0,214,62.1
20:35:30,32.3,4.3,0.0,0.7,-5.0,216,61.1
20:35:43,53.6,4.2,0.0,21.2,4.9,212,61.6
20:35:55,73.6,4.0,0.0,39.3,-4.1,213,61.6
20:36:06,27.5,4.3,0.0,1.2,0.0,212,61.6
20:36:17,26.2,4.4,0.0,0.2,0.0,213,61.6
20:36:28,26.9,4.4,0.0,0.7,0.0,212,61.6
20:36:40,26.0,4.4,0.0,0.2,0.0,212,61.6
20:36:51,26.1,4.3,0.0,0.3,2.8,211,61.6
20:37:03,40.6,4.3,0.0,3.4,-2.5,212,61.6
20:37:15,26.6,4.4,0.0,0.6,0.0,212,61.6
20:37:27,26.5,4.4,0.0,0.6,0.0,212,60.5
20:37:39,30.0,4.4,0.0,0.5,0.0,212,61.1
20:37:50,28.3,4.3,0.0,0.7,0.0,212,61.6
20:38:01,27.3,4.4,0.0,1.1,0.0,212,61.6
20:38:13,26.5,4.5,0.0,0.7,0.0,212,61.6
20:38:24,26.6,4.4,0.0,0.5,0.0,212,61.6
20:38:35,26.7,4.3,0.0,0.6,0.0,212,60.5
20:38:46,26.2,4.4,0.0,0.2,0.0,212,61.6
20:38:58,26.3,4.5,0.0,1.7,0.0,211,60.5
20:39:11,95.1,4.1,0.0,72.8,0.0,177,61.6
20:39:23,100.0,4.1,0.0,74.4,0.0,163,62.1
20:39:36,100.0,4.2,0.0,75.7,0.0,190,62.7
20:39:48,100.0,4.0,0.0,76.3,0.0,188,62.1
20:40:01,99.9,4.0,0.0,64.1,0.0,178,63.2
20:40:13,100.0,4.1,0.0,65.3,0.0,177,62.7
20:40:25,94.6,4.1,0.0,55.3,0.0,202,63.8
20:40:38,91.2,4.3,0.0,54.1,0.0,206,63.2
20:40:49,51.0,4.1,0.0,19.2,0.0,212,62.7
20:41:02,27.6,4.5,0.0,1.4,3.1,211,61.6
20:41:15,39.6,4.3,0.0,3.8,-2.7,212,61.6
20:41:27,37.7,4.3,0.0,0.8,4.7,210,61.6
20:41:38,38.1,4.3,0.0,0.7,-4.6,212,62.1
20:41:49,27.1,4.3,0.0,0.9,0.0,212,61.6
20:42:00,27.4,4.3,0.0,1.3,0.0,212,61.6
20:42:12,25.8,4.4,0.0,0.1,0.0,212,61.6
20:42:23,27.3,4.3,0.0,0.8,0.0,212,61.6
20:42:34,26.3,4.4,0.0,0.8,0.0,212,61.6
20:42:45,26.3,4.3,0.0,0.4,0.0,212,61.1
20:42:57,26.1,4.2,0.0,0.3,0.0,212,62.1
20:43:08,28.3,4.4,0.0,1.7,0.0,212,61.6
20:43:19,26.7,4.4,0.0,1.2,0.0,212,61.6
20:43:31,27.0,4.2,0.0,0.2,0.0,212,61.6
20:43:42,26.4,4.4,0.0,0.7,0.0,212,61.6
20:43:53,26.3,4.3,0.0,0.2,0.0,212,61.6
20:44:04,27.0,4.5,0.0,1.3,0.0,212,61.6
20:44:16,26.6,4.3,0.0,0.2,0.0,212,61.6
20:44:27,53.5,4.4,0.0,0.6,0.0,212,61.6
20:44:38,26.1,4.3,0.0,0.4,0.0,212,61.6
20:44:49,26.5,4.5,0.0,0.7,0.0,212,61.6
20:45:01,28.0,4.4,0.0,1.2,0.0,212,61.6
20:45:13,25.5,3.9,0.0,0.1,0.0,212,61.6
20:45:25,27.5,4.9,0.0,1.1,0.0,212,62.1
20:45:36,29.7,4.3,0.0,0.1,0.0,212,61.6
